NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
P53_DN.V1_UP	P53_DN.V1_UP		71	0.3581036	1.2493998	0.22129436	0.5750411	0.817	2449	tags=68%, list=49%, signal=131%	
RELA_DN.V1_UP	RELA_DN.V1_UP		34	0.39515302	1.2484311	0.26339287	0.56279427	0.817	1353	tags=47%, list=27%, signal=64%	
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN		48	0.34979656	1.2457812	0.23125	0.5552959	0.817	1468	tags=44%, list=29%, signal=61%	
AKT_UP.V1_DN	AKT_UP.V1_DN		47	0.3886899	1.244574	0.23700623	0.54585093	0.821	2161	tags=64%, list=43%, signal=111%	
AKT_UP_MTOR_DN.V1_UP	AKT_UP_MTOR_DN.V1_UP		53	0.3645227	1.2362082	0.15972222	0.55733854	0.831	1986	tags=53%, list=40%, signal=87%	
CAHOY_ASTROGLIAL	CAHOY_ASTROGLIAL		24	0.38324717	1.2361866	0.2246696	0.5446718	0.831	1528	tags=50%, list=31%, signal=72%	
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP		46	0.41702124	1.2356682	0.23799582	0.5336749	0.831	2280	tags=67%, list=46%, signal=123%	
LTE2_UP.V1_UP	LTE2_UP.V1_UP		74	0.3281207	1.2340157	0.14346895	0.527501	0.832	1359	tags=36%, list=27%, signal=49%	
STK33_SKM_UP	STK33_SKM_UP		78	0.3176632	1.2337871	0.13776723	0.51678365	0.832	1918	tags=46%, list=38%, signal=74%	
AKT_UP_MTOR_DN.V1_DN	AKT_UP_MTOR_DN.V1_DN		45	0.42092207	1.2228221	0.19727892	0.5339457	0.847	2161	tags=67%, list=43%, signal=116%	
AKT_UP.V1_UP	AKT_UP.V1_UP		39	0.40580198	1.2221295	0.19777778	0.52472645	0.847	2230	tags=62%, list=45%, signal=110%	
IL15_UP.V1_UP	IL15_UP.V1_UP		54	0.3766084	1.2196056	0.244	0.52093464	0.848	2411	tags=65%, list=48%, signal=124%	
MEL18_DN.V1_UP	MEL18_DN.V1_UP		53	0.3903012	1.2170683	0.27868852	0.5165003	0.85	2237	tags=62%, list=45%, signal=111%	
WNT_UP.V1_UP	WNT_UP.V1_UP		35	0.35952926	1.2070534	0.2410148	0.53151983	0.858	2469	tags=69%, list=49%, signal=135%	
RAF_UP.V1_UP	RAF_UP.V1_UP		73	0.3059083	1.2038877	0.2289916	0.5299942	0.86	1734	tags=38%, list=35%, signal=58%	
GCNP_SHH_UP_LATE.V1_UP	GCNP_SHH_UP_LATE.V1_UP		65	0.38502157	1.2022539	0.2647059	0.524458	0.861	1749	tags=52%, list=35%, signal=79%	
BIOCARTA_PTDINS_PATHWAY	BIOCARTA_PTDINS_PATHWAY		17	0.42186692	1.1849031	0.27891156	0.55823225	0.874	2108	tags=65%, list=42%, signal=111%	
VEGF_A_UP.V1_DN	VEGF_A_UP.V1_DN		66	0.31625536	1.1797888	0.32905984	0.56068075	0.881	901	tags=24%, list=18%, signal=29%	
PKCA_DN.V1_DN	PKCA_DN.V1_DN		39	0.345428	1.1777295	0.2529833	0.5559589	0.883	2451	tags=56%, list=49%, signal=110%	
STK33_SKM_DN	STK33_SKM_DN		69	0.28357124	1.1762149	0.1678487	0.5498499	0.883	1094	tags=28%, list=22%, signal=35%	
DCA_UP.V1_DN	DCA_UP.V1_DN		63	0.34885937	1.1727712	0.26958525	0.54840475	0.885	2325	tags=60%, list=47%, signal=111%	
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP		54	0.33682173	1.1720865	0.26818183	0.5406814	0.885	1194	tags=30%, list=24%, signal=39%	
BMI1_DN.V1_UP	BMI1_DN.V1_UP		53	0.39469767	1.1679163	0.30997878	0.5423464	0.886	2237	tags=64%, list=45%, signal=115%	
ESC_J1_UP_EARLY.V1_DN	ESC_J1_UP_EARLY.V1_DN		49	0.38003618	1.1657761	0.34753364	0.538573	0.886	1815	tags=49%, list=36%, signal=76%	
PDGF_ERK_DN.V1_DN	PDGF_ERK_DN.V1_DN		45	0.39871708	1.1643178	0.34615386	0.53345543	0.886	2171	tags=64%, list=43%, signal=113%	
ATF2_UP.V1_DN	ATF2_UP.V1_DN		61	0.31561044	1.1612877	0.24893618	0.5315439	0.886	2287	tags=54%, list=46%, signal=98%	
PGF_UP.V1_DN	PGF_UP.V1_DN		48	0.35828984	1.1556458	0.294	0.5377331	0.892	1158	tags=40%, list=23%, signal=51%	
WNT_UP.V1_DN	WNT_UP.V1_DN		41	0.30699894	1.1497418	0.22522523	0.54233277	0.9	1932	tags=51%, list=39%, signal=83%	
PRC2_EED_DN.V1_UP	PRC2_EED_DN.V1_UP		46	0.30617088	1.1487868	0.248307	0.5361889	0.9	1362	tags=30%, list=27%, signal=41%	
E2F1_UP.V1_UP	E2F1_UP.V1_UP		71	0.27993473	1.1484569	0.27272728	0.5288641	0.9	1982	tags=44%, list=40%, signal=71%	
IL2_UP.V1_UP	IL2_UP.V1_UP		58	0.34917012	1.1480159	0.3220676	0.52251756	0.9	2448	tags=64%, list=49%, signal=124%	
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP		59	0.3613568	1.142557	0.3205945	0.5287972	0.902	2428	tags=69%, list=49%, signal=133%	
NRL_DN.V1_DN	NRL_DN.V1_DN		39	0.3385368	1.1363695	0.30331755	0.533628	0.906	1973	tags=54%, list=39%, signal=88%	
ESC_J1_UP_EARLY.V1_UP	ESC_J1_UP_EARLY.V1_UP		46	0.33317184	1.1357603	0.30387932	0.5272727	0.906	2455	tags=59%, list=49%, signal=114%	
TGFB_UP.V1_DN	TGFB_UP.V1_DN		44	0.2910795	1.1346511	0.25877193	0.52320755	0.907	785	tags=20%, list=16%, signal=24%	
RB_P107_DN.V1_UP	RB_P107_DN.V1_UP		43	0.37203428	1.1329966	0.37044534	0.5199578	0.909	2474	tags=74%, list=49%, signal=146%	
CORDENONSI_YAP_CONSERVED_SIGNATURE	CORDENONSI_YAP_CONSERVED_SIGNATURE		22	0.43814018	1.1311013	0.35966736	0.5165996	0.909	1815	tags=59%, list=36%, signal=92%	
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN		31	0.3297759	1.1245693	0.3122172	0.5245528	0.912	1895	tags=45%, list=38%, signal=72%	
P53_DN.V1_DN	P53_DN.V1_DN		57	0.2882627	1.1223663	0.27944574	0.52266294	0.914	1043	tags=28%, list=21%, signal=35%	
PRC2_EZH2_UP.V1_UP	PRC2_EZH2_UP.V1_UP		50	0.29422253	1.1221001	0.30769232	0.5164276	0.914	2143	tags=50%, list=43%, signal=87%	
RPS14_DN.V1_UP	RPS14_DN.V1_UP		58	0.30527464	1.1187466	0.29723993	0.516532	0.914	1856	tags=48%, list=37%, signal=76%	
ATM_DN.V1_UP	ATM_DN.V1_UP		28	0.37373537	1.1168448	0.39534885	0.51386654	0.914	2173	tags=54%, list=43%, signal=94%	
CAHOY_OLIGODENDROCUTIC	CAHOY_OLIGODENDROCUTIC		29	0.32727286	1.1150541	0.28117913	0.5109035	0.915	2087	tags=45%, list=42%, signal=76%	
BIOCARTA_AGR_PATHWAY	BIOCARTA_AGR_PATHWAY		15	0.43069676	1.1082009	0.35520363	0.5184528	0.921	647	tags=40%, list=13%, signal=46%	
BIOCARTA_EGF_PATHWAY	BIOCARTA_EGF_PATHWAY		16	0.4733429	1.10294	0.41082165	0.5239942	0.928	2510	tags=88%, list=50%, signal=175%	
BIOCARTA_PDGF_PATHWAY	BIOCARTA_PDGF_PATHWAY		15	0.47045958	1.0959153	0.39034206	0.53250444	0.934	2510	tags=87%, list=50%, signal=174%	
JAK2_DN.V1_DN	JAK2_DN.V1_DN		52	0.26406574	1.0949528	0.30695444	0.5283064	0.934	1741	tags=35%, list=35%, signal=53%	
BIOCARTA_MAPK_PATHWAY	BIOCARTA_MAPK_PATHWAY		38	0.32159385	1.0947466	0.32801822	0.52263635	0.934	1704	tags=45%, list=34%, signal=67%	
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN		59	0.2726687	1.0911037	0.34237996	0.5236065	0.937	2586	tags=59%, list=52%, signal=121%	
PTEN_DN.V2_UP	PTEN_DN.V2_UP		32	0.32269764	1.0830648	0.33870968	0.53408575	0.939	2669	tags=63%, list=53%, signal=133%	
VEGF_A_UP.V1_UP	VEGF_A_UP.V1_UP		59	0.31415975	1.0828348	0.4053498	0.5285368	0.939	2470	tags=63%, list=49%, signal=122%	
CRX_NRL_DN.V1_DN	CRX_NRL_DN.V1_DN		42	0.31439102	1.0783005	0.43049327	0.5312833	0.94	1973	tags=52%, list=39%, signal=86%	
RB_P107_DN.V1_DN	RB_P107_DN.V1_DN		45	0.33825886	1.0766902	0.39506173	0.5285973	0.94	2502	tags=69%, list=50%, signal=137%	
RPS14_DN.V1_DN	RPS14_DN.V1_DN		43	0.3372128	1.0757881	0.40086207	0.5251068	0.944	1975	tags=49%, list=40%, signal=80%	
TBK1.DN.48HRS_UP	TBK1.DN.48HRS_UP		20	0.38458398	1.0739084	0.43776825	0.52334297	0.944	2433	tags=65%, list=49%, signal=126%	
BIOCARTA_TCR_PATHWAY	BIOCARTA_TCR_PATHWAY		18	0.39983076	1.0726205	0.4026975	0.5200255	0.945	1693	tags=56%, list=34%, signal=84%	
GCNP_SHH_UP_LATE.V1_DN	GCNP_SHH_UP_LATE.V1_DN		63	0.31957	1.0675906	0.4409091	0.52418196	0.945	2630	tags=60%, list=53%, signal=126%	
PRC2_EED_DN.V1_DN	PRC2_EED_DN.V1_DN		77	0.32124865	1.0596404	0.37301588	0.5343146	0.948	2482	tags=57%, list=50%, signal=112%	
LEF1_UP.V1_DN	LEF1_UP.V1_DN		44	0.28669173	1.0583229	0.38915095	0.5309866	0.949	1878	tags=45%, list=38%, signal=72%	
BIOCARTA_BIOPEPTIDES_PATHWAY	BIOCARTA_BIOPEPTIDES_PATHWAY		15	0.41610795	1.0582973	0.43128964	0.52556837	0.949	1706	tags=53%, list=34%, signal=81%	
MYC_UP.V1_DN	MYC_UP.V1_DN		53	0.27614394	1.0559804	0.3793911	0.52459383	0.949	1900	tags=42%, list=38%, signal=66%	
LTE2_UP.V1_DN	LTE2_UP.V1_DN		63	0.28483644	1.0511471	0.40929204	0.52760607	0.95	2840	tags=67%, list=57%, signal=152%	
RAF_UP.V1_DN	RAF_UP.V1_DN		65	0.26950985	1.0448976	0.43678162	0.53334904	0.951	2384	tags=55%, list=48%, signal=104%	
CRX_DN.V1_UP	CRX_DN.V1_UP		25	0.3506066	1.0381852	0.4517647	0.54005295	0.952	2330	tags=60%, list=47%, signal=112%	
RAPA_EARLY_UP.V1_DN	RAPA_EARLY_UP.V1_DN		59	0.33784986	1.0286348	0.5232558	0.552025	0.956	2356	tags=66%, list=47%, signal=124%	
CRX_NRL_DN.V1_UP	CRX_NRL_DN.V1_UP		40	0.2891626	1.0188553	0.44161358	0.56515074	0.957	2722	tags=63%, list=54%, signal=136%	
BIOCARTA_MET_PATHWAY	BIOCARTA_MET_PATHWAY		18	0.375822	1.0121397	0.4729459	0.5720953	0.959	2163	tags=61%, list=43%, signal=107%	
RB_P130_DN.V1_UP	RB_P130_DN.V1_UP		29	0.29461643	1.007693	0.4607646	0.5758693	0.961	1034	tags=24%, list=21%, signal=30%	
EIF4E_DN	EIF4E_DN		64	0.28833354	1.0073422	0.48755187	0.57113343	0.961	2645	tags=56%, list=53%, signal=118%	
BIOCARTA_VDR_PATHWAY	BIOCARTA_VDR_PATHWAY		18	0.3784606	1.005496	0.50898206	0.5688153	0.961	2042	tags=61%, list=41%, signal=103%	
KRAS.LUNG.BREAST_UP.V1_UP	KRAS.LUNG.BREAST_UP.V1_UP		22	0.30700263	1.0020896	0.471564	0.56950986	0.961	957	tags=32%, list=19%, signal=39%	
RAPA_EARLY_UP.V1_UP	RAPA_EARLY_UP.V1_UP		48	0.27641743	1.0012304	0.48109242	0.56609756	0.961	2620	tags=58%, list=52%, signal=121%	
GCNP_SHH_UP_EARLY.V1_UP	GCNP_SHH_UP_EARLY.V1_UP		53	0.30509156	1.00049	0.48065174	0.56211936	0.961	1730	tags=40%, list=35%, signal=60%	
BCAT_BILD_ET_AL_DN	BCAT_BILD_ET_AL_DN		25	0.33962128	0.99394995	0.488	0.56882	0.962	2128	tags=56%, list=43%, signal=97%	
KRAS.LUNG_UP.V1_DN	KRAS.LUNG_UP.V1_DN		21	0.3374405	0.9902887	0.49015316	0.5704246	0.962	1945	tags=62%, list=39%, signal=101%	
CYCLIN_D1_KE_.V1_DN	CYCLIN_D1_KE_.V1_DN		49	0.27650535	0.98500293	0.48879838	0.57472324	0.964	2509	tags=57%, list=50%, signal=114%	
PTEN_DN.V2_DN	PTEN_DN.V2_DN		39	0.27706054	0.9795896	0.5070093	0.5796328	0.967	1444	tags=33%, list=29%, signal=47%	
CSR_EARLY_UP.V1_DN	CSR_EARLY_UP.V1_DN		46	0.264795	0.9787341	0.49532712	0.5759308	0.967	1608	tags=37%, list=32%, signal=54%	
BIOCARTA_HIVNEF_PATHWAY	BIOCARTA_HIVNEF_PATHWAY		28	0.28353637	0.9786216	0.5386266	0.5711356	0.967	1546	tags=36%, list=31%, signal=51%	
ESC_V6.5_UP_EARLY.V1_UP	ESC_V6.5_UP_EARLY.V1_UP		47	0.2893817	0.97750133	0.48181817	0.5687746	0.968	2832	tags=70%, list=57%, signal=160%	
PRC2_EZH2_UP.V1_DN	PRC2_EZH2_UP.V1_DN		39	0.22958837	0.9731023	0.5259434	0.5717281	0.97	61	tags=8%, list=1%, signal=8%	
KRAS.600.LUNG.BREAST_UP.V1_DN	KRAS.600.LUNG.BREAST_UP.V1_DN		49	0.2665029	0.97296923	0.45496535	0.5671304	0.97	1823	tags=41%, list=36%, signal=64%	
ALK_DN.V1_UP	ALK_DN.V1_UP		19	0.27758873	0.96763724	0.5495495	0.5726293	0.97	1168	tags=26%, list=23%, signal=34%	
RB_P130_DN.V1_DN	RB_P130_DN.V1_DN		52	0.2915601	0.9603633	0.563147	0.58066756	0.97	1669	tags=38%, list=33%, signal=57%	
CAHOY_ASTROCYTIC	CAHOY_ASTROCYTIC		25	0.31427586	0.9567445	0.5472528	0.5824132	0.974	2637	tags=72%, list=53%, signal=152%	
PDGF_ERK_DN.V1_UP	PDGF_ERK_DN.V1_UP		46	0.25669134	0.95596737	0.5334873	0.57860476	0.974	2075	tags=43%, list=42%, signal=74%	
TBK1.DF_DN	TBK1.DF_DN		137	0.2568918	0.9503341	0.50980395	0.58350015	0.975	2766	tags=58%, list=55%, signal=126%	
KRAS.600_UP.V1_DN	KRAS.600_UP.V1_DN		50	0.23492645	0.935014	0.6136919	0.6064383	0.981	1660	tags=34%, list=33%, signal=50%	
MTOR_UP.V1_UP	MTOR_UP.V1_UP		42	0.27702066	0.93412817	0.58295965	0.6031799	0.981	2285	tags=48%, list=46%, signal=87%	
JNK_DN.V1_DN	JNK_DN.V1_DN		40	0.2909554	0.9237374	0.5811966	0.6166255	0.984	2646	tags=63%, list=53%, signal=132%	
SNF5_DN.V1_UP	SNF5_DN.V1_UP		56	0.27201268	0.9228159	0.62899786	0.6134663	0.984	2841	tags=68%, list=57%, signal=155%	
SRC_UP.V1_DN	SRC_UP.V1_DN		42	0.22793807	0.9171283	0.59912854	0.61871797	0.984	2109	tags=40%, list=42%, signal=69%	
ESC_J1_UP_LATE.V1_DN	ESC_J1_UP_LATE.V1_DN		44	0.26641625	0.9117353	0.58542717	0.62343824	0.986	761	tags=18%, list=15%, signal=21%	
CTIP_DN.V1_DN	CTIP_DN.V1_DN		29	0.26755393	0.9001217	0.59624416	0.63864547	0.986	2665	tags=62%, list=53%, signal=132%	
E2F3_UP.V1_DN	E2F3_UP.V1_DN		38	0.26896426	0.8972506	0.6309795	0.63905424	0.986	2123	tags=42%, list=42%, signal=73%	
CSR_LATE_UP.V1_DN	CSR_LATE_UP.V1_DN		42	0.261232	0.89462507	0.61764705	0.63849616	0.986	3030	tags=69%, list=61%, signal=174%	
NOTCH_DN.V1_UP	NOTCH_DN.V1_UP		43	0.24260376	0.8944963	0.6244019	0.6339653	0.986	1066	tags=23%, list=21%, signal=29%	
SIRNA_EIF4GI_DN	SIRNA_EIF4GI_DN		20	0.30785105	0.89348555	0.60337555	0.6308539	0.986	2232	tags=55%, list=45%, signal=99%	
JNK_DN.V1_UP	JNK_DN.V1_UP		32	0.262745	0.8803759	0.6750524	0.64957494	0.989	2808	tags=66%, list=56%, signal=149%	
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP		43	0.22518346	0.86924666	0.61915886	0.66419065	0.991	957	tags=23%, list=19%, signal=29%	
MTOR_UP.N4.V1_DN	MTOR_UP.N4.V1_DN		59	0.22707914	0.8688311	0.65434784	0.6600773	0.991	2656	tags=59%, list=53%, signal=125%	
BMI1_DN.V1_DN	BMI1_DN.V1_DN		25	0.2701608	0.8614914	0.6469298	0.6687354	0.991	2646	tags=56%, list=53%, signal=118%	
STK33_DN	STK33_DN		70	0.20828821	0.8577747	0.71990174	0.6713367	0.992	2714	tags=59%, list=54%, signal=126%	
DCA_UP.V1_UP	DCA_UP.V1_UP		32	0.24114597	0.8489354	0.69495416	0.6824149	0.993	523	tags=16%, list=10%, signal=17%	
MTOR_UP.N4.V1_UP	MTOR_UP.N4.V1_UP		60	0.22813798	0.8488916	0.76566124	0.6777189	0.993	2025	tags=40%, list=41%, signal=66%	
ATF2_S_UP.V1_UP	ATF2_S_UP.V1_UP		37	0.22031634	0.84562755	0.76167077	0.6784601	0.996	1682	tags=38%, list=34%, signal=57%	
KRAS.LUNG_UP.V1_UP	KRAS.LUNG_UP.V1_UP		24	0.26516074	0.84455633	0.6971047	0.6750837	0.997	1260	tags=29%, list=25%, signal=39%	
HOXA9_DN.V1_DN	HOXA9_DN.V1_DN		61	0.22060807	0.83818704	0.7521552	0.68274206	0.997	2495	tags=51%, list=50%, signal=100%	
MEL18_DN.V1_DN	MEL18_DN.V1_DN		35	0.24772875	0.8368999	0.66281754	0.6799963	0.997	1608	tags=34%, list=32%, signal=50%	
NFE2L2.V2	NFE2L2.V2		104	0.17693365	0.82991934	0.81360203	0.68737125	0.997	1041	tags=20%, list=21%, signal=25%	
ATF2_UP.V1_UP	ATF2_UP.V1_UP		39	0.2581885	0.8292454	0.6933333	0.68374586	0.997	2470	tags=56%, list=49%, signal=111%	
KRAS.300_UP.V1_DN	KRAS.300_UP.V1_DN		25	0.22663873	0.78962535	0.80487806	0.7479697	1.0	2036	tags=40%, list=41%, signal=67%	
P53_DN.V2_UP	P53_DN.V2_UP		24	0.2649478	0.7876758	0.74557525	0.74631584	1.0	2395	tags=46%, list=48%, signal=88%	
KRAS.BREAST_UP.V1_DN	KRAS.BREAST_UP.V1_DN		31	0.24276792	0.7737509	0.7785714	0.7628904	1.0	1740	tags=35%, list=35%, signal=54%	
ERBB2_UP.V1_DN	ERBB2_UP.V1_DN		59	0.21868517	0.77047426	0.7214912	0.7630551	1.0	2844	tags=59%, list=57%, signal=136%	
IL21_UP.V1_UP	IL21_UP.V1_UP		41	0.22349274	0.7653112	0.78768575	0.76682574	1.0	2264	tags=46%, list=45%, signal=84%	
ALK_DN.V1_DN	ALK_DN.V1_DN		30	0.2271191	0.7568971	0.82543105	0.77622163	1.0	405	tags=13%, list=8%, signal=14%	
BMI1_DN_MEL18_DN.V1_DN	BMI1_DN_MEL18_DN.V1_DN		26	0.21091047	0.75103486	0.84792626	0.7802519	1.0	1489	tags=27%, list=30%, signal=38%	
SNF5_DN.V1_DN	SNF5_DN.V1_DN		44	0.23720355	0.74986386	0.9	0.776751	1.0	2846	tags=64%, list=57%, signal=146%	
IL15_UP.V1_DN	IL15_UP.V1_DN		29	0.23177609	0.74524397	0.84817815	0.7790048	1.0	2402	tags=48%, list=48%, signal=92%	
ESC_V6.5_UP_LATE.V1_DN	ESC_V6.5_UP_LATE.V1_DN		38	0.19329041	0.7388424	0.8613861	0.7830541	1.0	1758	tags=32%, list=35%, signal=48%	
MTOR_UP.V1_DN	MTOR_UP.V1_DN		57	0.19353835	0.7384434	0.8802661	0.77890813	1.0	2507	tags=46%, list=50%, signal=90%	
PRC2_SUZ12_UP.V1_UP	PRC2_SUZ12_UP.V1_UP		50	0.17863485	0.7049718	0.9216152	0.8232521	1.0	1958	tags=34%, list=39%, signal=55%	
KRAS.PROSTATE_UP.V1_UP	KRAS.PROSTATE_UP.V1_UP		22	0.20153253	0.6864694	0.9346247	0.84386873	1.0	2167	tags=41%, list=43%, signal=72%	
MEK_UP.V1_DN	MEK_UP.V1_DN		62	0.16909286	0.67283905	0.90821254	0.855242	1.0	2880	tags=60%, list=58%, signal=139%	
EGFR_UP.V1_DN	EGFR_UP.V1_DN		59	0.1800448	0.67046607	0.8651685	0.8527699	1.0	2832	tags=59%, list=57%, signal=135%	
